catalog_no,product_name,cas,formula,molecular_weight,purity,category_l1,category_l2,product_class_id,synonyms,smiles,storage,research_goal,application,method,protocol,pmid_doi,vendor_evidence,confidence,overview,faq,seo_meta
SC8055,5-Iodo-CTP,59259-76-6,C9H15N3O14P3I,,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Iodo-cytidine-5'-Triphosphate"", ' 5I-CTP']",C1=C(C(=NC(=O)N1C2C(C(C(O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N)I.[Na+].[Na+].[Na+].[Na+],-20°C,,,,,,,,,,
SC8056,5-Methyl-dCTP,22003-12-9,C10H18N3O13P3,481.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Methyl-2'-deoxycytidine-5'-triphosphate"", ' 5m-dCTP']",CC1=CN(C(=O)N=C1N)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8057,5-Methyl-CTP,327174-86-7,C10H18N3O14P3,497.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Methylcytidine-5'-triphosphate"", ' 5-Me-CTP']",CC1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8058,O6-Methyl-dGTP,,C11H18N5O13P3,521.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""O6-Methyl-2'-deoxyguanosine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8059,O6-Methyl-GTP,99404-63-4,C11H18N5O14P3,537.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""O6-Methylguanosine-5'-Triphosphate""]",COC1=NC(=NC2=C1N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N,-20°C,,,,,,,,,,
SC8060,N6-Methyl-dATP,5085-65-4,C11H18N5O12P3,505.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""N6-Methyl-2'-deoxyadenosine-5'-triphosphate"", ' m⁶dATP']",CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H](C[C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8061,N6-Methyl-ATP,3130-39-0,C11H18N5O13P3,521.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""N6-Methyl-adenosine-5'-triphosphate"", ' m⁶ATP']",CNC1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8062,N2-Methyl-dGTP,,C11H18N5O13P3,521.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""N2-Methyl-2'-deoxyguanosine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8063,8-Oxo-dATP(1),3056945-23-1,C10H16N5O13P3,507.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""8-Oxo-2'-deoxyadenosine-5'-triphosphate"", ' 8-Hydroxy-dATP']",[Li+].[Li+].[Li+].[Li+].C1[C@@H]([C@H](O[C@H]1N2C3=NC=NC(=C3NC2=O)N)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O,-20°C,,,,,,,,,,
SC8064,8-Oxo-dGTP(1),139307-94-1,C10H16N5O14P3,523.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""8-Oxo-2'-deoxyguanosine-5'-triphosphate"", ' 8-Hydroxy-dGTP']",C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8065,8-Oxo-GTP(1),21238-36-8,C10H16N5O15P3,539.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""8-Oxo-guanosine-5'-triphosphate"", ' 8-Hydroxy-GTP']",C([C@@H]1[C@H]([C@H]([C@@H](O1)N2C3=C(C(=O)NC(=N3)N)NC2=O)O)O)OP(=O)(O)OP(=O)(O)OP(=O)(O)O,-20°C,,,,,,,,,,
SC8066,8-Oxo-dGMP(1),127027-50-3,C10H14N5O8P,363.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""8-Oxo-2'-deoxyguanosine-5'-monophosphate"", ' 8-Hydroxy-dGMP']",C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8067,8-Oxo-dGDP(1),,C10H15N5O11P2,443.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""8-Oxo-2'-deoxyguanosine-5'-diphosphate"", ' 8-Hydroxy-dGDP']",C1[C@@H]([C@H](O[C@H]1N2C3=C(C(=O)NC(=N3)N)NC2=O)COP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8068,2-thio-dTTP(1),,C10H17N2O13P3S,498.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""2-thio-2'-deoxythymidine-5'-triphosphate"", ' s²dTTP']",,-20°C,,,,,,,,,,
SC8069,2-thio-dCTP(1),,C9H16N3O12P3S,483.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""2-Thio-2'-deoxycytidine-5'-Triphosphate"", ' s²dCTP']",,-20°C,,,,,,,,,,
SC8070,2-thio-CTP(1),,C9H16N3O13P3S,499.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""2-Thiocytidine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8071,2-thio-UTP(1),35763-29-2,C9H15N2O14P3S,500.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""2-Thiouridine-5'-triphosphate"", ' s2UTP']",,-20°C,,,,,,,,,,
SC8072,6-thio-dGTP(1),17660-38-7,C10H16N5O12P3S,523.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""6-Thio-2'-deoxyguanosine-5'-triphosphate"", ' s⁶dGTP']",C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=S)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8073,6-thio-GTP(1),17670-19-8,C10H16N5O13P3S,539.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""6-Thio-guanosine-5'-triphosphate"", ' s⁶GTP']",C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)NC(=NC2=S)N,-20°C,,,,,,,,,,
SC8074,6-thio-GMP(1),15867-02-4,C10H14N5O7PS,379.3,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""6-Thio-guanosine-5'-monophosphate"", ' s⁶GMP']",C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=S)N,-20°C,,,,,,,,,,
SC8075,6-Aza-dUTP,,C8H14N3O14P3,469.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""6-Aza-2'-deoxyuridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8076,6-Aza-UTP(1),,C8H14N3O15P3,485.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""6-Azauridine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8077,6-Aza-CTP(1),,C8H15N4O14P3,484.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""6-Azacytidine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8078,6-Aza-dCTP(1),,C8H15N4O13P3,468.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Aza-2'-deoxycytidine-5'-triphosphate""]",,-20°C,,,,,,,,,,
SC8079,5-AA-dCTP(1),,C12H21N4O13P3,,≥ 90% (HPLC),nucleotides_nucleosides,,21,"['5(3aminoallyl)2′deoxycytidine5′triphosphate', ' AA-dCTP']",,-20°C,,,,,,,,,,
SC8080,5-AA-CTP(1),182700-18-0,C12H21N4O14P3,,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Aminoallylcytidine-5'-Triphosphate"", ' AA-CTP']",C1=C(C(=NC(=O)N1[C@H]2[C@H](C([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N)/C=C/CN,-20°C,,,,,,,,,,
SC8081,5-AA-dUTP(1),936327-10-5,C12H20N3O14P3,523.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-(3-Aminoallyl)-2'-deoxyuridine-5'-triphosphate"", ' AA-dUTP']",,-20°C,,,,,,,,,,
SC8082,5-AA-UTP(1),112131-73-4,C12H17N3O15P3,536.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-(3-Aminoallyl)-2'-uridine-5'-triphosphate"", ' AA-UTP']",C=CCOC([C@@H]1[C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=O)N)O)O)OP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-].[Na+].[Na+].[Na+].[Na+],-20°C,,,,,,,,,,
SC8083,5-Hydroxy-CTP(1),,C9H16N3O15P3,499.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"['5-Hydroxycytidine-5’-Triphosphate', ' 5-OH-CTP']",C1=C(C(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N)O,-20°C,,,,,,,,,,
SC8084,5-Hydroxy-dCTP(1),154121-10-5,C9H16N3O14P3,483.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Hydroxy-2'-deoxycytidine-5'-Triphosphate"", ' 5-OH-dCTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8085,5-Hydroxymethyl-dCTP(1),7226-77-9,C10H18N3O14P3,497.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"['5-Hydroxymethyl-2’-deoxycytidine-5’-Triphosphate', ' 5-hmdCTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)CO)CO)O,-20°C,,,,,,,,,,
SC8086,5-Hydroxymethyl-CTP(1),39749-90-1,C10H18N3O15P3,513.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"['5-Hydroxymethyl-cytidine-5’-Triphosphate', ' 5-hme-CTP']",C1=C(C(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)N)CO,-20°C,,,,,,,,,,
SC8087,5-Hydroxymethyl-UTP,2415101-56-1,C10H17N2O16P3,514.7,≥ 90% (HPLC),nucleotides_nucleosides,,10,"['5-Hydroxymethyluridine-5’-Triphosphate', ' 5-hm-UTP']",C1=C(C(=O)NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O)CO,-20°C,,,,,,,,,,
SC8088,5-Hydroxymethyl-dUTP,14167-70-5,C10H17N2O15P3,498.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Hydroxymethyl-2'-deoxyuridine-5'-triphosphate"", ' 5-hmdUTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)CO)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8089,5-Carboxy-CTP,,C10H16N3O16P3,527.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Carboxycytidine-5'-Triphosphate"", ' 5-caCTP']",,-20°C,,,,,,,,,,
SC8090,5-Carboxy-dCTP,,C10H16N3O15P3,511.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""5-Carboxy-2'-deoxycytidine-5'-Triphosphate"", ' 5-ca-dCTP']",,-20°C,,,,,,,,,,
SC8091,5-Formyl-CTP,,C10H16N3O15P3,511.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""5-Formylcytidine-5'-Triphosphate"", ' 5-Fo-CTP']",,-20°C,,,,,,,,,,
SC8092,5-Formyl-dCTP,1428903-58-5,C10H16N3O14P3,495.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"['5-Formyl-2’-deoxycytidine-5’-Triphosphate', ' 5-Fo-dCTP']",[Li+].[Li+].[Li+].[Li+].C1[C@H]([C@H](O[C@H]1N2C=C(C(=NC2=O)N)C=O)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O,-20°C,,,,,,,,,,
SC8093,7-Deaza-GTP,,C11H17N4O14P3,522.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""7-Deazaguanosine-5'-Triphosphate""]",C1=CN(C2=C1C(=O)NC(=N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O)O,-20°C,,,,,,,,,,
SC8094,7-Deaza-ATP,,C11H17N4O13P3,506.2,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""7-Deazaadenosine-5'-Triphosphate""]",,-20°C,,,,,,,,,,
SC8095,7-Deaza-dADP,187478-96-2,C11H16N4O9P2,410.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-2'-deoxyadenosine-5'-diphosphate""]",C1[C@@H]([C@H](O[C@H]1N2C=CC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8096,7-Deaza-dAMP,,C11H15N4O6P,330.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-2'-deoxyadenosine-5'-monophosphate""]",,-20°C,,,,,,,,,,
SC8097,7-Deaza-dGDP,,C11H16N4O10P2,426.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-2'-deoxyguanosine-5'-diphosphate""]",,-20°C,,,,,,,,,,
SC8098,7-Deaza-dGMP,,C11H15N4O7P,346.2,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-2'-deoxyguanosine-5'-monophosphate""]",,-20°C,,,,,,,,,,
SC8099,7-Deaza-7-iodo-dATP,214833-26-8,C11H16N4O12P3I,616.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-7-iodo-2'-deoxyadenosine-5'-triphosphate"", ' 7-Deaza-7-I-dATP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C3=C(N=CN=C32)N)I)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8100,7-Deaza-7-iodo-dGTP,214833-26-8,C11H16N4O13P3I,632.1,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-7-iodo-2'-deoxyguanosine-5'-triphosphate"", ' 7-Deaza-7-I-dGTP']",C1[C@@H]([C@H](O[C@H]1N2C=C(C3=C(N=CN=C32)N)I)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8101,7-Deaza-7-Propargylamino-dATP,587848-72-4,C14H20N5O12P3,543.3,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-7-Propargylamino-2'-deoxyadenosine-5'-Triphosphate""]",C1[C@@H]([C@H](O[C@H]1N2C=C(C3=C(N=CN=C32)N)C#CCN)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8102,7-Deaza-7-Propargylamino-dGTP,587848-73-5,C14H20N5O13P3,559.3,≥ 90% (HPLC),nucleotides_nucleosides,,21,"[""7-Deaza-7-Propargylamino-2'-deoxyguanosine-5'-Triphosphate""]",C1[C@@H]([C@H](O[C@H]1N2C=C(C3=C2N=C(NC3=O)N)C#CCN)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O,-20°C,,,,,,,,,,
SC8103,7-Deaza-7-Propargylamino-ddATP,114748-69-5,C14H20N5O11P3,527.3,≥ 90% (HPLC),nucleotides_nucleosides,,22,"[""7-Deaza-7-Propargylamino-2'-dideoxyadenosine-5'-Triphosphate""]",C1C[C@@H](O[C@@H]1COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=C(C3=C(N=CN=C32)N)C#CCN,-20°C,,,,,,,,,,
SC8104,7-Deaza-7-Propargylamino-ddGTP,114748-61-7,C14H20N5O12P3,543.3,≥ 90% (HPLC),nucleotides_nucleosides,,22,"[""7-Deaza-7-Propargylamino-2'-dideoxyguanosine-5'-Triphosphate""]",C1C[C@@H](O[C@@H]1COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N2C=C(C3=C2N=C(NC3=O)N)C#CCN,-20°C,,,,,,,,,,
SC8105,3’-Azido-ddATP,92562-94-2,C10H15N8O11P3,516.2,≥ 90% (HPLC),nucleotides_nucleosides,,22,"[""3'-Azido-2'"", ""3'-dideoxyadenosine-5'-triphosphate"", "" 3'-Azido-2'"", ""3'-ddATP""]",C1C(C(OC1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],-20°C,,,,,,,,,,
SC8106,3’-Azido-ddGTP,94059-38-8,C10H15N8O12P3,532.2,≥ 90% (HPLC),nucleotides_nucleosides,,22,"[""3'-Azido-2'"", ""3'-dideoxyguanosine-5'-triphosphate"", "" 3'-Azido-2'"", ""3'-ddGTP""]",C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2N=C(NC3=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],-20°C,,,,,,,,,,
SC8107,3’-Azido-ddCTP,92562-77-1,C9H15N6O12P3,492.2,≥ 90% (HPLC),nucleotides_nucleosides,,22,"[""3'-Azido-2'"", ""3'-dideoxycytosine-5'-triphosphate"", "" 3'-Azido-2'"", ""3'-ddCTP""]",C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],-20°C,,,,,,,,,,
SC8108,3’-Azido-ddUTP,119388-79-3,C9H14N5O13P3,493.2,≥ 90% (HPLC),nucleotides_nucleosides,,22,"[""3'-Azido-2'"", ""3'-dideoxyuridine-5'-triphosphate"", "" 3'-Azido-2'"", ""3'-ddUTP""]",C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],-20°C,,,,,,,,,,
SC8109,3’-Azido-ddTTP,92586-35-1,C10H16N5O13P3,507.1,≥ 90% (HPLC),nucleotides_nucleosides,,10,"[""3'-Azido-2'"", ""3'-dideoxythymidine-5'-triphosphate"", ' AZT-TP']",CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N=[N+]=[N-],-20°C,,,,,,,,,,
SC8110,3’-Amino-ddATP,90053-18-2,C10H17N6O11P3,490.2,≥ 90% (HPLC),nucleotides_nucleosides,,22,"[""3'-Amino-2'"", ""3'-dideoxyadenosine-5'-Triphosphate"", "" 3'- Amino-2'"", ""3'-ddATP""]",C1[C@@H]([C@H](O[C@H]1N2C=NC3=C(N=CN=C32)N)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)N,-20°C,,,,,,,,,,
